87,119,94,53,69,119,0
88,122,98,51,71,122,0
91,126,100,52,71,126,0
95,130,104,52,69,130,0
93,132,106,50,75,132,0
100,134,110,51,65,134,0
73,78,76,42,16,78,0
48,41,48,150,37,48,0
36,32,38,160,40,38,0
30,27,36,170,64,36,0
33,32,42,177,61,42,0
20,20,36,0,113,36,0
10,11,32,1,175,32,0
6,9,30,4,204,30,0
6,11,32,6,207,32,0
11,18,37,8,179,37,0
16,18,28,5,109,28,0
25,25,31,0,49,31,0
9,6,8,140,85,9,0
4,3,5,165,102,5,0
4,3,5,165,102,5,0
0,2,3,20,255,3,0
0,2,3,20,255,3,0
0,2,3,20,255,3,0
3,2,4,165,128,4,0
16,13,15,140,48,16,0
47,43,55,170,56,55,0
23,22,38,178,107,38,0
37,36,52,178,78,52,0
37,33,44,169,64,44,0
45,40,49,163,47,49,0
37,34,36,140,21,37,0
44,41,43,140,17,44,0
31,28,30,140,25,31,0
52,52,58,0,26,58,0
38,42,47,13,49,47,0
18,27,31,21,107,31,0
51,66,69,25,67,69,0
87,102,105,25,44,105,0
87,102,105,25,44,105,0
107,121,120,32,30,121,0
22,36,34,34,99,36,0
30,45,41,38,85,45,0
22,39,30,46,111,39,0
33,50,39,49,87,50,0
32,52,40,48,98,52,0
44,64,52,48,80,64,0
45,68,54,48,86,68,0
61,81,68,50,63,81,0
70,91,76,51,59,91,0
63,84,69,51,64,84,0
22,45,30,50,130,45,0
30,52,34,55,108,52,0
25,49,31,53,125,49,0
24,50,32,51,133,50,0
31,59,46,44,121,59,0
73,95,93,33,59,95,0
66,87,85,33,62,87,0
51,72,69,34,74,72,0
52,75,67,40,78,75,0
55,75,70,38,68,75,0
67,86,77,44,56,86,0
103,121,104,58,38,121,0
114,132,109,67,44,132,0
88,107,80,69,64,107,0
96,107,75,80,76,107,0
92,96,67,86,77,96,0
96,101,70,85,78,101,0
105,110,79,85,72,110,0
97,104,71,84,81,104,0
97,104,71,84,81,104,0
89,97,66,82,81,97,0
104,124,95,69,60,124,0
133,161,131,62,48,161,0
133,164,135,58,48,164,0
110,162,132,47,82,162,0
109,161,131,47,82,161,0
112,160,131,48,77,160,0
112,160,131,48,77,160,0
107,157,127,48,81,157,0
105,155,123,49,82,155,0
105,155,123,49,82,155,0
105,154,122,50,81,154,0
100,149,117,50,84,149,0
95,142,109,51,84,142,0
95,142,109,51,84,142,0
94,141,109,50,85,141,0
96,140,109,51,80,140,0
97,139,108,52,77,139,0
97,138,107,53,76,138,0
97,138,107,53,76,138,0
100,138,108,54,70,138,0
100,138,108,54,70,138,0
102,138,108,55,67,138,0
102,138,108,55,67,138,0
105,139,109,56,62,139,0
108,139,110,58,57,139,0
108,139,110,58,57,139,0
109,140,111,58,56,140,0
114,142,113,61,52,142,0
120,143,115,65,50,143,0
123,144,119,65,44,144,0
124,144,121,64,41,144,0
122,144,120,63,42,144,0
123,145,121,63,42,145,0
122,144,120,63,42,144,0
95,123,87,67,75,123,0
97,125,89,67,73,125,0
101,127,91,68,72,127,0
105,129,94,69,69,129,0
107,131,96,69,68,131,0
109,134,96,70,72,134,0
112,137,99,70,71,137,0
116,139,101,72,70,139,0
115,140,102,70,69,140,0
115,140,102,70,69,140,0
102,129,96,65,65,129,0
90,115,87,63,62,115,0
84,109,81,63,66,109,0
80,107,81,59,64,107,0
76,102,78,58,65,102,0
74,100,77,57,66,100,0
73,99,76,57,67,99,0
70,96,73,57,69,96,0
66,93,73,52,74,93,0
62,91,68,54,81,91,0
61,90,67,54,82,90,0
60,88,65,55,81,88,0
59,87,64,55,82,87,0
61,86,66,54,74,86,0
61,86,66,54,74,86,0
65,87,68,56,64,87,0
66,88,69,56,64,88,0
67,89,71,55,63,89,0
71,90,73,57,54,90,0
72,90,73,58,51,90,0
71,90,73,57,54,90,0
71,90,73,57,54,90,0
67,100,73,55,84,100,0
68,101,74,55,83,101,0
65,97,72,53,84,97,0
64,96,71,53,85,96,0
56,88,64,53,93,88,0
55,83,60,55,86,83,0
60,86,68,51,77,86,0
62,90,71,50,79,90,0
65,97,73,53,84,97,0
61,96,70,52,93,96,0
62,97,70,53,92,97,0
62,98,68,55,94,98,0
63,98,71,53,91,98,0
59,97,69,52,100,97,0
61,99,69,54,98,99,0
61,99,71,52,98,99,0
59,97,69,52,100,97,0
56,98,67,52,109,98,0
54,96,65,52,112,96,0
54,96,65,52,112,96,0
56,94,64,54,103,94,0
58,94,64,55,98,94,0
72,91,66,67,70,91,0
72,91,66,67,70,91,0
71,84,70,62,42,84,0
68,79,69,57,36,79,0
67,78,68,57,36,78,0
64,73,70,40,31,73,0
61,70,67,40,33,70,0
55,63,63,30,32,63,0
52,60,60,30,34,60,0
52,59,62,21,41,62,0
45,54,58,21,57,58,0
42,50,57,16,67,57,0
39,48,57,15,81,57,0
37,46,56,14,87,56,0
35,43,56,11,96,56,0
33,42,55,12,102,55,0
33,40,55,10,102,55,0
31,40,53,12,106,53,0
33,41,58,10,110,58,0
30,36,65,5,137,65,0
31,38,65,6,133,65,0
28,37,64,7,143,64,0
60,93,66,55,90,93,0
60,89,64,56,83,89,0
60,89,64,56,83,89,0
62,92,67,55,83,92,0
58,90,66,53,91,90,0
62,87,67,54,73,87,0
60,86,68,51,77,86,0
59,82,67,50,72,82,0
58,78,66,48,65,78,0
57,73,66,43,56,73,0
53,67,63,39,53,67,0
55,80,52,63,89,80,0
75,106,73,62,79,106,0
83,113,78,64,79,113,0
91,121,86,64,74,121,0
